internship_title,organization,skills_required,min_gpa,qualification,location,deadline,application_link,internship_url,source,description,stipend,duration,status
SAIL Bokaro PM Internship Scheme / Industrial Training,SAIL (Steel Authority),"Digital transformation, ERP (SAP), IT infrastructure, Data analytics, Management operations",0.0,Any Graduate,Bokaro Steel Plant,,https://www.sail.co.in/en/careers,https://www.sail.co.in/en/careers,Metals & Steel,SAIL Bokaro PM Internship Scheme / Industrial Training at SAIL (Steel Authority). PMIS Phase III active at Bokaro; also accepts regular IT/digital trainees,"₹5,000/month + ₹6,000 one-time (PMIS)",6 months / 4–8 weeks,Open
SAIL Durgapur Apprenticeship / Industrial Training,SAIL (Steel Authority),"Special steels, Alloy manufacturing, Precision machining, Metallurgical analysis, Quality control",0.0,Diploma,Durgapur Steel Plant,,https://www.sail.co.in/en/careers,https://www.sail.co.in/en/careers,Metals & Steel,SAIL Durgapur Apprenticeship / Industrial Training at SAIL (Steel Authority). Special steel plant focus,"₹8,000–₹14,000/month (apprenticeship)",1 year / 4–8 weeks,Open
CSIR-NCL Summer Internship Programme,CSIR-NCL,"Organic, inorganic synthesis, Polymer chemistry, Nanomaterials, Catalysis, Computational chemistry, Python, Chromatography",0.0,Engineering,Pune,,https://ncl-intern.ncl.res.in/,https://ncl-intern.ncl.res.in/,Chemistry & Materials,CSIR-NCL Summer Internship Programme at CSIR-NCL. Dedicated portal at ncl-intern.ncl.res.in,"Unpaid / ₹5,000–₹10,000 (select projects)",4–8 weeks (Summer),Open
CSIR-IGIB Internship / Project Training,CSIR-IGIB,"PCR, CRISPR, Next-gen sequencing, Bioinformatics tools, Python (bioinformatics), Cell culture, ELISA",0.0,"Molecular Biology, Genomics, Bioinformatics, Biochemistry, Biotechnology, Genetics",Delhi,,https://www.igib.res.in/,https://www.igib.res.in/,Genomics & Life Sciences,CSIR-IGIB Internship / Project Training at CSIR-IGIB. Institute of Genomics and Integrative Biology,Unpaid,4–12 weeks,Open
CSIR-CLRI Internship / Project Training,CSIR-CLRI,"Tanning processes, Chemical analysis, Wastewater treatment, Polymer chemistry, HPLC, Spectroscopy",0.0,Engineering,Chennai,,https://www.clri.res.in/,https://www.clri.res.in/,Leather Technology,CSIR-CLRI Internship / Project Training at CSIR-CLRI. Central Leather Research Institute,Unpaid / Nominal,4–8 weeks,Open
CSIR-CMERI Internship / Project Training,CSIR-CMERI,"CAD, CAM, Robotics, Automation, Mechanical design, FEA, 3D printing, Agricultural machinery",0.0,Engineering,Durgapur,,https://www.cmeri.res.in/,https://www.cmeri.res.in/,Mechanical & Robotics,CSIR-CMERI Internship / Project Training at CSIR-CMERI. Central Mechanical Engineering Research Institute,Unpaid / Nominal,4–8 weeks,Open
CSIR-CEERI Internship / Project Training,CSIR-CEERI,"Semiconductor devices, Microwave tubes, Embedded systems, FPGA, PCB design, Device fabrication, VLSI",0.0,"Electronics, ECE, Electrical, Physics, Materials Science",Pilani,,https://www.ceeri.res.in/,https://www.ceeri.res.in/,Electronics & Semiconductor,CSIR-CEERI Internship / Project Training at CSIR-CEERI. Central Electronics Engineering Research Institute,Unpaid / Nominal,4–8 weeks,Open
CSIR-NEERI Internship / Project Training,CSIR-NEERI,"Water quality analysis, Air pollution, Wastewater treatment, Environmental assessment, Analytical chemistry, GIS",0.0,Engineering,Nagpur,,https://www.neeri.res.in/,https://www.neeri.res.in/,Environmental Science,CSIR-NEERI Internship / Project Training at CSIR-NEERI. National Environmental Engineering Research Institute,Unpaid / Nominal,4–8 weeks,Open
CSIR-NML Internship / Project Training,CSIR-NML,"Physical metallurgy, Materials characterization, XRD, SEM, TEM, Mechanical testing, Hydrometallurgy",0.0,"Metallurgy, Materials Science, Mechanical, Mining, Chemical",Jamshedpur,,https://www.nmlindia.org/,https://www.nmlindia.org/,Metallurgy & Materials,CSIR-NML Internship / Project Training at CSIR-NML. National Metallurgical Laboratory,Unpaid / Nominal,4–8 weeks,Open
CSIR-CCMB Internship / Project Training,CSIR-CCMB,"Cell culture, PCR, qPCR, Microscopy, Flow cytometry, Bioinformatics, Python, Molecular cloning",0.0,"Molecular Biology, Cell Biology, Biotechnology, Genetics, Biochemistry",Hyderabad,,https://www.ccmb.res.in/,https://www.ccmb.res.in/,Biology & Biotechnology,CSIR-CCMB Internship / Project Training at CSIR-CCMB. Centre for Cellular and Molecular Biology,Unpaid / Nominal,4–12 weeks,Open
CSIR-CFTRI Internship / Project Training,CSIR-CFTRI,"Food processing, Analytical chemistry, Rheology, Sensory evaluation, HPLC, Food safety standards",0.0,Engineering,Mysuru,,https://www.cftri.res.in/,https://www.cftri.res.in/,Food Technology,CSIR-CFTRI Internship / Project Training at CSIR-CFTRI. Central Food Technological Research Institute,Unpaid / Nominal,4–8 weeks,Open
CSIR-CSMCRI Internship / Training Programme,CSIR-CSMCRI,"Salt chemistry, Desalination, Polymer synthesis, Marine biotechnology, Analytical methods, Spectroscopy",0.0,Engineering,Bhavnagar,,https://www.csmcri.res.in/internship-training-program,https://www.csmcri.res.in/internship-training-program,Marine & Salt Chemistry,CSIR-CSMCRI Internship / Training Programme at CSIR-CSMCRI. Dedicated internship page at csmcri.res.in,Unpaid / Nominal,4–8 weeks,Open
BARC Practical Training / Project Work (Engineering Students),BARC,"Nuclear engineering, Reactor systems, Radiation safety, Instrumentation, Chemical processes, Computational physics, Programming (Python, C)",0.0,"Mechanical, Electrical, Electronics, Chemical, Metallurgy, CS, Physics","Trombay, Mumbai",,https://www.barc.gov.in/student/,https://www.barc.gov.in/student/,Nuclear Science,BARC Practical Training / Project Work (Engineering Students) at BARC. Apply at barc.gov.in/student/; check ptpw_status.pdf for available slots; query: hrddptpw@barc.gov.in,Unpaid,4–24 weeks,Open
BARC Practical Training / Project Work (Science Students),BARC,"Nuclear physics, Radiation biology, Radiochemistry, Spectroscopy, Computational modelling",0.0,"Physics, Chemistry, Mathematics, Life Sciences, Biochemistry","Trombay, Mumbai",,https://www.barc.gov.in/student/,https://www.barc.gov.in/student/,Nuclear Science,BARC Practical Training / Project Work (Science Students) at BARC. Science students track; same portal barc.gov.in/student/,Unpaid,4–24 weeks,Open
ICMR Short-Term Studentship (STS) Programme 2026,ICMR,"Biomedical research, Epidemiology, Biostatistics, Lab techniques (PCR, ELISA), Scientific writing, SPSS",0.0,"MBBS, BDS, BAMS, Nursing, Life Sciences, Public Health",Pan-India (via institute selection),,https://www.icmr.gov.in/short-term-studentship-sts,https://www.icmr.gov.in/short-term-studentship-sts,Medical Research,ICMR Short-Term Studentship (STS) Programme 2026 at ICMR. Annual programme; sts.icmr.org.in; competitive; guided research project,"₹10,000/month",2 months (May–Jul),Open
ICMR-NIN Dissertation / Internship Training (Jul–Dec + Jan–Jun),ICMR-NIN,"Nutritional assessment, Biochemical analysis, Diet surveys, SPSS, Scientific writing, Lab techniques",0.0,"Nutrition, Dietetics, Food Science, Biochemistry, Public Health",Hyderabad,,https://www.icmr.gov.in/,https://www.icmr.gov.in/,Medical Research,ICMR-NIN Dissertation / Internship Training (Jul–Dec + Jan–Jun) at ICMR-NIN. Apply: May 1–Jun 15 for Jul session; Nov 1–Dec 15 for Jan session,Unpaid,6 months (two sessions),Open
ICMR-NIIRNCD Internship/Dissertation Training (May–Jun + Aug–Sep 2026),ICMR-NIIRNCD,"Non-communicable disease research, Epidemiology, Biostatistics, Clinical data analysis, Scientific reporting",0.0,"Public Health, Medicine, Epidemiology, Life Sciences",Jodhpur,,https://www.icmr.gov.in/post/apply-now-two-months-internship-observership-programme-session-may-june-2026-and-august-september-2026-at-niirncd-jodhpur-reg-last-date-of-application-april-19-2026,https://www.icmr.gov.in/post/apply-now-two-months-internship-observership-programme-session-may-june-2026-and-august-september-2026-at-niirncd-jodhpur-reg-last-date-of-application-april-19-2026,Medical Research,ICMR-NIIRNCD Internship/Dissertation Training (May–Jun + Aug–Sep 2026) at ICMR-NIIRNCD. Last date Apr 19 2026 for May–Jun and Aug–Sep sessions,Unpaid,2 months,Open
ICMR Health Communications Internship (Jan–Mar 2026),ICMR HQ,"Health communication, Content creation, Social media, Science communication, Report writing",0.0,"Mass Communication, Public Health, Journalism, Social Sciences",New Delhi,,https://www.icmr.gov.in/,https://www.icmr.gov.in/,Medical Research,ICMR Health Communications Internship (Jan–Mar 2026) at ICMR HQ. Previous cycle: Jan–Mar 2026; check icmr.gov.in for new notices,Unpaid,3 months (Jan–Mar),Open
DST INSPIRE Scholarship for Higher Education (SHE),DST,"Scientific research, Lab techniques, Data analysis, Scientific writing, Analytical reasoning",0.0,"Natural Sciences (Physics, Chemistry, Biology, Mathematics, Statistics) — UG/PG level",Pan-India (IITs/IISc/National Labs),,https://dst.gov.in/inspire-scheme-innovation-science-pursuit-inspired-research,https://dst.gov.in/inspire-scheme-innovation-science-pursuit-inspired-research,Science & Technology,DST INSPIRE Scholarship for Higher Education (SHE) at DST. Scholarship with summer research attachment; apply via online-inspire.gov.in,"₹80,000/year (UG); ₹1,20,000/year (PG)",5 years (UG+PG),Open
India Science and Research Fellowship (ISRF) 2025–26,DST,"Advanced research, Scientific writing, Laboratory research, Collaboration skills",0.0,PhD,Pan-India,,https://dst.gov.in/callforproposals/call-proposal-india-science-and-research-fellowship-isrf-2025-26,https://dst.gov.in/callforproposals/call-proposal-india-science-and-research-fellowship-isrf-2025-26,Science & Technology,India Science and Research Fellowship (ISRF) 2025–26 at DST. For researchers from SAARC/ASEAN; also check DST fellowship opportunities page,Fellowship amount as per scheme,6–12 months,Open
C-DAC Work-Based Learning Programme (WBL) — SC/ST/Women/EWS,C-DAC,"Software development, AI, ML, Embedded systems, Cybersecurity, HPC, Python, Java, C++, Data science",0.0,B.Tech/B.E.,"Pune, Hyderabad, Bangalore, Noida, Mumbai, Mohali, Chennai",,https://careers.cdac.in/,https://careers.cdac.in/,IT & Computing,C-DAC Work-Based Learning Programme (WBL) — SC/ST/Women/EWS at C-DAC. WBL under MeitY; SC/ST/Women/EWS priority; check careers.cdac.in for current batch,Paid (MeitY-funded),6–12 months,Open
C-DAC General Internship / Student Project,C-DAC,"AI, ML, Deep learning, Cybersecurity, High-performance computing, Embedded systems, Python, Java, Data science",0.0,B.Tech/B.E.,"Pune, Hyderabad, Bangalore, Noida, Other Centres",,https://careers.cdac.in/,https://careers.cdac.in/,IT & Computing,C-DAC General Internship / Student Project at C-DAC. Check cdac.in/index.aspx?id=current_jobs for active openings,Unpaid / Nominal,2–6 months,Open
NIELIT Guwahati Academic Internship Programme 2026 (NEP 2020),NIELIT,"Digital literacy, Python, Java, Embedded systems, IoT, Networking, Cybersecurity basics, Data analysis",0.0,"CS, IT, Electronics, ECE (UG/PG)","Guwahati (also: Dibrugarh, Jorhat, Kokrajhar, Majuli, Silchar, Tezpur)",,https://www.nielit.gov.in/content/internship-2026,https://www.nielit.gov.in/content/internship-2026,Electronics & IT,NIELIT Guwahati Academic Internship Programme 2026 (NEP 2020) at NIELIT. NEP 2020 aligned credit-bearing internship; 7 centres across Assam,Unpaid,1 month,Open
NIELIT Calicut Embedded Systems & IoT Internship,NIELIT Calicut,"Embedded C, Arduino, Raspberry Pi, IoT protocols (MQTT, HTTP), Sensor interfacing, PCB basics, Python",0.0,Diploma,Calicut,,https://www.nielit.gov.in/calicut/course-calendar?coursecode=esin-103,https://www.nielit.gov.in/calicut/course-calendar?coursecode=esin-103,Electronics & IT,NIELIT Calicut Embedded Systems & IoT Internship at NIELIT Calicut. Course code esin-103; scheduled batches throughout the year,Paid (course fee applies),4–8 weeks,Open
NIELIT Calicut Cybersecurity & Ethical Hacking Internship (Offline),NIELIT Calicut,"Ethical hacking, Penetration testing, Network security, Kali Linux, Metasploit, Python, OWASP, Cryptography",0.0,MCA,Calicut,,https://www.nielit.gov.in/calicut/calicut/content/internship-cybersecurity-offline,https://www.nielit.gov.in/calicut/calicut/content/internship-cybersecurity-offline,Electronics & IT,NIELIT Calicut Cybersecurity & Ethical Hacking Internship (Offline) at NIELIT Calicut. Offline mode; covers ethical hacking and cybersecurity fundamentals,Paid (course fee applies),4–8 weeks,Open
NIELIT Delhi/Chandigarh IT Internship / Industrial Training,NIELIT Delhi / Chandigarh,"Software development, Database management, Python, Web development, Networking, Cyber security basics",0.0,BCA,Delhi / Chandigarh,,https://www.nielit.gov.in/,https://www.nielit.gov.in/,Electronics & IT,NIELIT Delhi/Chandigarh IT Internship / Industrial Training at NIELIT Delhi / Chandigarh. Check nielit.gov.in for centre-specific announcements,Unpaid / Nominal,4–8 weeks,Open
AICTE Portal — Government Ministry Internships,AICTE National Internship Portal,"Varies by listing: CS, IT, Engineering, Management, Science, Law, Finance, Design, etc.",0.0,All disciplines (AICTE-approved institution students),Pan-India,Live — 1 crore target by 2027,https://internship.aicte-india.org/,https://internship.aicte-india.org/,Multi-sector,AICTE Portal — Government Ministry Internships at AICTE National Internship Portal. Filter by Government sector on portal; free registration for students,Paid and Unpaid (varies by listing),Varies,Open
AICTE Portal — PM Internship Scheme Listings (Top 500 Companies),AICTE National Internship Portal,"Industry operations, Business functions, Digital skills, Finance, HR — varies by company, PSU",0.0,Any Graduate,Pan-India,,https://internship.aicte-india.org/internshipbygoogle.php,https://internship.aicte-india.org/internshipbygoogle.php,Multi-sector,AICTE Portal — PM Internship Scheme Listings (Top 500 Companies) at AICTE National Internship Portal. Top 500 companies including PSUs; pminternshipscheme.com for details,"₹5,000/month + ₹6,000 one-time",6 months,Open
NCS Portal — Government & PSU Internship Listings,NCS (National Career Service),"Varies by listing — Engineering, IT, Finance, Management, Sciences, Social Work, etc.",0.0,All job seekers / students across disciplines,Pan-India,Live,https://www.ncs.gov.in/internships-jobs,https://www.ncs.gov.in/internships-jobs,Multi-sector,NCS Portal — Government & PSU Internship Listings at NCS (National Career Service). Ministry of Labour portal; search 'internship'; 6+ crore registered users; helpline 1514,Varies,Varies,Open
Skill India Digital Hub — Government-linked Internship Listings,Skill India Digital Hub (SIDH),"Data Science, Python, Excel, Digital marketing, IT, Design, Finance, Soft skills — varies by listing",0.0,All students and skill-seekers,Pan-India,Live,https://www.skillindiadigital.gov.in/internship,https://www.skillindiadigital.gov.in/internship,Skill-linked Internships,Skill India Digital Hub — Government-linked Internship Listings at Skill India Digital Hub (SIDH). Mix of government-backed and private skill-linked internships; filter by domain,Free and Paid (varies),Varies,Open
6 MONTHS INTERNSHIP IN CYBER SECURITY,SURE Trust,"Network Security, Linux",0.0,Any Graduate,Pan India,03-Dec-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwNDk2NjY3NmEyMDM5MWI4YWU3Mw==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwNDk2NjY3NmEyMDM5MWI4YWU3Mw==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN CYBER SECURITY internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
CLERK FOR SMART SOLID WASTE MANAGEMENT DEPARTMENT,Vadodara Smart City Development Limited,"Communication, MS Office",0.0,Any Graduate,Baroda ,12-Jun-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUEdPVl8xNzgwNDgxNzIyNmExZmZlYmE5N2Q2OQ==&level=Mg==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUEdPVl8xNzgwNDgxNzIyNmExZmZlYmE5N2Q2OQ==&level=Mg==,AICTE Internship Portal,CLERK FOR SMART SOLID WASTE MANAGEMENT DEPARTMENT internship at Vadodara Smart City Development Limited. Duration: 06 Months. Stipend: 14000 /month.,14000 /month,06 Months,Closing Soon
SOLID WASTE MANAGEMENT,Vadodara Smart City Development Limited,"Communication, MS Office",0.0,Any Graduate,Baroda ,12-Jun-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUEdPVl8xNzgwNDc1MTYwNmExZmU1MTg3ODVhMw==&level=Mg==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUEdPVl8xNzgwNDc1MTYwNmExZmU1MTg3ODVhMw==&level=Mg==,AICTE Internship Portal,SOLID WASTE MANAGEMENT internship at Vadodara Smart City Development Limited. Duration: 6 Months. Stipend: 14000 /month.,14000 /month,6 Months,Closing Soon
HANDS-ON PROJECT BASED INTERNSHIP,Beeskilled,"Communication, MS Office",0.0,Any Graduate,Pan India,04-Jun-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwNDc1ODM5NmExZmU3YmZlNDA1OQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwNDc1ODM5NmExZmU3YmZlNDA1OQ==,AICTE Internship Portal,HANDS-ON PROJECT BASED INTERNSHIP internship at Beeskilled. Duration: 6 Weeks. Stipend: Unpaid.,Unpaid,6 Weeks,Expired
SUMMER INTERNSHIP PROGRAMM2026,Beeskilled,"Communication, MS Office",0.0,Any Graduate,Pan India,03-Jun-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwNDExNjc0NmExZWVkMWEzNDUyZA==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwNDExNjc0NmExZWVkMWEzNDUyZA==,AICTE Internship Portal,SUMMER INTERNSHIP PROGRAMM2026 internship at Beeskilled. Duration: 6 Weeks. Stipend: Unpaid.,Unpaid,6 Weeks,Expired
PROJECT BASED INTERNSHIP,Beeskilled,"Communication, MS Office",0.0,Any Graduate,Pan India,03-Jun-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwMzg0ODQ5NmExZTg0NTE2MGYwOQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwMzg0ODQ5NmExZTg0NTE2MGYwOQ==,AICTE Internship Portal,PROJECT BASED INTERNSHIP internship at Beeskilled. Duration: 6 Weeks. Stipend: Unpaid.,Unpaid,6 Weeks,Expired
ADVANCE DIPLOMA IN COMPUTER APPLICATION,HSPD TECHNICAL EDUCATION FOUNDATION,"Communication, MS Office",0.0,Any Graduate,Pan India,30-Jun-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwMTE5NzUzNmExYTc4YzlkYjJhOA==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwMTE5NzUzNmExYTc4YzlkYjJhOA==,AICTE Internship Portal,ADVANCE DIPLOMA IN COMPUTER APPLICATION internship at HSPD TECHNICAL EDUCATION FOUNDATION. Duration: 12 Months. Stipend: Unpaid.,Unpaid,12 Months,Open
ENGINEERING INTERN,AICTE Listed,"Communication, MS Office",0.0,Any Graduate,Pan India,30-Jun-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc5ODU4NzUxNmExNjdkM2YzMDNhZA==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc5ODU4NzUxNmExNjdkM2YzMDNhZA==,AICTE Internship Portal,ENGINEERING INTERN internship at nan. Duration: 4 Months. Stipend: Unpaid.,Unpaid,4 Months,Open
AI & ML INTERN,Nihal Software,"Python, Machine Learning",0.0,Any Graduate,"Central Delhi,Delhi,Faridabad,Gurgaon",19-Jun-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc5Mjc5NDgwNmEwZGE2NzhjNDlkYQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc5Mjc5NDgwNmEwZGE2NzhjNDlkYQ==,AICTE Internship Portal,AI & ML INTERN internship at Nihal Software. Duration: 6 Weeks. Stipend: 6500 /month.,6500 /month,6 Weeks,Open
WEB DEVELOPMENT INTERNSHIP,Uniconverge Technologies Pvt Ltd,"HTML, CSS, JavaScript",0.0,Any Graduate,Pan India,31-Aug-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc5MTA1NTUwNmEwYWZmMGUyMzg0Mg==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc5MTA1NTUwNmEwYWZmMGUyMzg0Mg==,AICTE Internship Portal,WEB DEVELOPMENT INTERNSHIP internship at Uniconverge Technologies Pvt Ltd. Duration: 6 Weeks. Stipend: Unpaid.,Unpaid,6 Weeks,Open
5G TECHNOLOGY INTERNSHIP,Uniconverge Technologies Pvt Ltd,"Communication, MS Office",0.0,Any Graduate,Pan India,31-Aug-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc5MTAzOTA1NmEwYWY4YTE1OTFiOQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc5MTAzOTA1NmEwYWY4YTE1OTFiOQ==,AICTE Internship Portal,5G TECHNOLOGY INTERNSHIP internship at Uniconverge Technologies Pvt Ltd. Duration: 6 Weeks. Stipend: Unpaid.,Unpaid,6 Weeks,Open
CLOUD COMPUTING INTERNSHIP,Uniconverge Technologies Pvt Ltd,"Cloud Computing, Linux",0.0,Any Graduate,Pan India,31-Aug-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc5MTAxMTEzNmEwYWVkYjk0ZDk4MQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc5MTAxMTEzNmEwYWVkYjk0ZDk4MQ==,AICTE Internship Portal,CLOUD COMPUTING INTERNSHIP internship at Uniconverge Technologies Pvt Ltd. Duration: 6 Weeks. Stipend: Unpaid.,Unpaid,6 Weeks,Open
QUANTUM COMPUTING INTERNSHIP,Uniconverge Technologies Pvt Ltd,"Communication, MS Office",0.0,Any Graduate,Pan India,31-Aug-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc5MDk4ODI5NmEwYWU0Y2Q4ZTMwYg==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc5MDk4ODI5NmEwYWU0Y2Q4ZTMwYg==,AICTE Internship Portal,QUANTUM COMPUTING INTERNSHIP internship at Uniconverge Technologies Pvt Ltd. Duration: 6 Weeks. Stipend: Unpaid.,Unpaid,6 Weeks,Open
INTERNSHIP OPPORTUNITY FOR SHRI AMARNATH JI YATRA 2026,JAMMU MUNICIPAL CORPORATION,"Communication, MS Office",0.0,Any Graduate,Jammu ,10-Jun-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUEdPVlNCTV8xNzc5MDY1ODUzNmEwYTYzZmQ3ZjExNg==&level=Mg==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUEdPVlNCTV8xNzc5MDY1ODUzNmEwYTYzZmQ3ZjExNg==&level=Mg==,AICTE Internship Portal,INTERNSHIP OPPORTUNITY FOR SHRI AMARNATH JI YATRA 2026 internship at JAMMU MUNICIPAL CORPORATION. Duration: 2 Months. Stipend: 10000 /month.,10000 /month,2 Months,Closing Soon
CYBER SECURITY INTERNSHIP,Uniconverge Technologies Pvt Ltd,"Network Security, Linux",0.0,Any Graduate,Pan India,31-Aug-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc4OTE4NTk4NmEwODI0YzYxZjM4OQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc4OTE4NTk4NmEwODI0YzYxZjM4OQ==,AICTE Internship Portal,CYBER SECURITY INTERNSHIP internship at Uniconverge Technologies Pvt Ltd. Duration: 6 Weeks. Stipend: Unpaid.,Unpaid,6 Weeks,Open
PYTHON PROGRAMMING INTERNSHIP,Uniconverge Technologies Pvt Ltd,Python,0.0,Any Graduate,Pan India,31-Aug-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc4OTA4NTU2NmEwN2ZkOGM0ZjA3NA==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc4OTA4NTU2NmEwN2ZkOGM0ZjA3NA==,AICTE Internship Portal,PYTHON PROGRAMMING INTERNSHIP internship at Uniconverge Technologies Pvt Ltd. Duration: 6 Weeks. Stipend: Unpaid.,Unpaid,6 Weeks,Open
VIDEO EDITOR,Nihal Software,"Communication, MS Office",0.0,Any Graduate,"Gurgaon,Gurugram",06-Jun-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc4MDUyMzE4NjlmYWVjZGVhMDNiZA==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc4MDUyMzE4NjlmYWVjZGVhMDNiZA==,AICTE Internship Portal,VIDEO EDITOR internship at Nihal Software. Duration: 6 Weeks. Stipend: 6500 to 8500 /month.,6500 to 8500 /month,6 Weeks,Closing Soon
EMBEDDED DESIGN AND INTERNET OF THINGS (IOT),Radar Technical Center India Private Limited,"Communication, MS Office",0.0,Any Graduate,Pan India,30-Jun-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc3NzAxMjQ2NjlmNTkxN2VjOTA4OQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc3NzAxMjQ2NjlmNTkxN2VjOTA4OQ==,AICTE Internship Portal,EMBEDDED DESIGN AND INTERNET OF THINGS (IOT) internship at Radar Technical Center India Private Limited. Duration: 2 Months. Stipend: Unpaid.,Unpaid,2 Months,Open
6-MONTH PROJECT-BASED ACTUARIAL INTERNSHIP,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,16-Oct-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc2NDMzODY3NjllMjNhY2I1NDI1ZQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzc2NDMzODY3NjllMjNhY2I1NDI1ZQ==,AICTE Internship Portal,6-MONTH PROJECT-BASED ACTUARIAL INTERNSHIP internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
CIVIL ENGINEERING INTERNS,Thrissur Municipal Corporation,"Communication, MS Office",0.0,Any Graduate,Thrissur ,13-Jun-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUEdPVkFNXzE3NzQ0MTY2Mzk2OWMzNzJmZmRkY2Ji&level=Mg==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUEdPVkFNXzE3NzQ0MTY2Mzk2OWMzNzJmZmRkY2Ji&level=Mg==,AICTE Internship Portal,CIVIL ENGINEERING INTERNS internship at Thrissur Municipal Corporation. Duration: 6 Months. Stipend: 10000 /month.,10000 /month,6 Months,Open
6 MONTHS INTERNSHIP IN SAP ABAP CONSULTANT,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,05-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcyNzEwNTgwNjlhOTZhYjRhY2VkNw==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcyNzEwNTgwNjlhOTZhYjRhY2VkNw==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN SAP ABAP CONSULTANT internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN EMBEDDED SYSTEMS & INTERNET OF THINGS,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,05-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcyNzA5MDQwNjlhOTY0YjA2NDYwMQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcyNzA5MDQwNjlhOTY0YjA2NDYwMQ==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN EMBEDDED SYSTEMS & INTERNET OF THINGS internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
